round,node_id,neighbors_list,position_x,position_y,risk_type,initial_germ
1,1,"2,4,10",500,300,red,0
1,2,"1,4,9",461.8033989,417.5570505,blue,0
1,3,"4,5,6,7,8",361.8033989,490.2113033,blue,1
1,4,"3,2,1,9,10",238.1966011,490.2113033,blue,1
1,5,"3,6,8",138.1966011,417.5570505,red,0
1,6,"3,5,7",100,300,red,0
1,7,"3,8,6",138.1966011,182.4429495,red,0
1,8,"3,5,7",238.1966011,109.7886967,blue,0
1,9,"4,2,10",361.8033989,109.7886967,red,0
1,10,"9,4,1",461.8033989,182.4429495,red,0
2,1,"6,2,4",500,300,red,0
2,2,"1,3,6",461.8033989,417.5570505,blue,1
2,3,"2,4,6",361.8033989,490.2113033,red,0
2,4,"1,3,6",238.1966011,490.2113033,blue,0
2,5,"6,7,8,9,10",138.1966011,417.5570505,red,0
2,6,"5,1,2,3,4",100,300,red,0
2,7,"5,8,10",138.1966011,182.4429495,red,0
2,8,"7,9,5",238.1966011,109.7886967,blue,1
2,9,"5,10,8",361.8033989,109.7886967,red,0
2,10,"7,5,9",461.8033989,182.4429495,blue,0
3,1,"2,6,10",500,300,red,0
3,2,"1,3,7",461.8033989,417.5570505,blue,1
3,3,"2,4,8",361.8033989,490.2113033,red,0
3,4,"3,5,9",238.1966011,490.2113033,red,0
3,5,"10,4,6",138.1966011,417.5570505,blue,0
3,6,"1,5,7",100,300,red,0
3,7,"2,6,8",138.1966011,182.4429495,blue,0
3,8,"3,7,9",238.1966011,109.7886967,red,0
3,9,"4,8,10",361.8033989,109.7886967,red,0
3,10,"1,5,9",461.8033989,182.4429495,blue,1
4,1,"2,10,8",500,300,red,0
4,2,"1,8,3",461.8033989,417.5570505,red,0
4,3,"2,8,10",361.8033989,490.2113033,blue,0
4,4,"9,5,7",238.1966011,490.2113033,red,0
4,5,"4,6,9",138.1966011,417.5570505,red,0
4,6,"9,5,7",100,300,red,0
4,7,"4,9,6",138.1966011,182.4429495,blue,0
4,8,"9,10,1,2,3",238.1966011,109.7886967,blue,1
4,9,"8,4,5,6,7",361.8033989,109.7886967,blue,1
4,10,"8,1,3",461.8033989,182.4429495,red,0
5,1,"2,6,10",500,300,blue,1
5,2,"1,3,7",461.8033989,417.5570505,red,0
5,3,"2,4,8",361.8033989,490.2113033,blue,1
5,4,"3,5,9",238.1966011,490.2113033,red,0
5,5,"10,4,6",138.1966011,417.5570505,red,0
5,6,"1,5,7",100,300,blue,0
5,7,"2,6,8",138.1966011,182.4429495,red,0
5,8,"3,7,9",238.1966011,109.7886967,blue,0
5,9,"4,8,10",361.8033989,109.7886967,red,0
5,10,"1,5,9",461.8033989,182.4429495,red,0
6,1,"2,7,10",500,300,red,0
6,2,"1,7,9",461.8033989,417.5570505,blue,0
6,3,"4,8,6",361.8033989,490.2113033,red,0
6,4,"3,5,8",238.1966011,490.2113033,blue,1
6,5,"4,6,8",138.1966011,417.5570505,red,0
6,6,"3,5,8",100,300,blue,0
6,7,"8,9,10,1,2",138.1966011,182.4429495,red,0
6,8,"7,3,4,5,6",238.1966011,109.7886967,red,0
6,9,"7,10,2",361.8033989,109.7886967,red,0
6,10,"9,7,1",461.8033989,182.4429495,blue,1
7,1,"2,6,10",500,300,blue,1
7,2,"1,3,7",461.8033989,417.5570505,red,0
7,3,"2,4,8",361.8033989,490.2113033,red,0
7,4,"3,5,9",238.1966011,490.2113033,blue,0
7,5,"10,4,6",138.1966011,417.5570505,red,0
7,6,"1,5,7",100,300,blue,0
7,7,"2,6,8",138.1966011,182.4429495,red,0
7,8,"3,7,9",238.1966011,109.7886967,red,0
7,9,"4,8,10",361.8033989,109.7886967,blue,1
7,10,"1,5,9",461.8033989,182.4429495,red,0
8,1,"2,4,9",500,300,red,0
8,2,"1,3,9",461.8033989,417.5570505,red,1
8,3,"2,4,9",361.8033989,490.2113033,red,0
8,4,"1,3,9",238.1966011,490.2113033,blue,0
8,5,"6,8,10",138.1966011,417.5570505,red,0
8,6,"5,7,10",100,300,red,0
8,7,"6,8,10",138.1966011,182.4429495,red,0
8,8,"5,7,10",238.1966011,109.7886967,blue,0
8,9,"1,2,3,4,10",361.8033989,109.7886967,blue,1
8,10,"5,6,7,8,9",461.8033989,182.4429495,blue,0
9,1,"2,3,4,5,6",500,300,red,0
9,2,"1,7,8,9,10",461.8033989,417.5570505,red,0
9,3,"1,4,6",361.8033989,490.2113033,red,0
9,4,"1,3,5",238.1966011,490.2113033,blue,1
9,5,"1,4,6",138.1966011,417.5570505,red,0
9,6,"1,5,3",100,300,blue,0
9,7,"2,10,8",138.1966011,182.4429495,red,0
9,8,"2,7,9",238.1966011,109.7886967,blue,1
9,9,"2,8,10",361.8033989,109.7886967,red,0
9,10,"2,9,7",461.8033989,182.4429495,blue,0
